"mu0","phi0","ppEffCrit","ppFutCrit","pmp","n1_targ","n2_targ","futOnly","enrScale","numAlt","trr1","trr2","trr3","trr4","trr5","rr1","rr2","rr3","rr4","rr5","FWER","nerr","fut1","fut2","fut3","fut4","fut5","aveSS1","aveSS2","aveSS3","aveSS4","aveSS5","medSS1","medSS2","medSS3","medSS4","medSS5","minSS1","minSS2","minSS3","minSS4","minSS5","maxSS1","maxSS2","maxSS3","maxSS4","maxSS5","aveSSovr","PM1","PM2","PM3","PM4","PM5","SP1","SP2","SP3","SP4","SP5","PP1","PP2","PP3","PP4","PP5","BIAS1","BIAS2","BIAS3","BIAS4","BIAS5","MSE1","MSE2","MSE3","MSE4","MSE5","aveDur","esProb1","esProb2","nbCont1","nbCont2"
0.45,1,0.985,0.275,2,7,16,TRUE,1,0,0.15,0.15,0.15,0.15,0.15,0.00797,0.007745,0.00799,0.007885,0.00806,0.03744,1.05902777777778,0.79439,0.79588,0.79241,0.793445,0.794535,11.21984,11.18655,11.23566,11.219345,11.2058,9,9,9,9,9,5,5,5,5,5,42,42,43,42,43,56.067195,0.14893318012557,0.148947875753186,0.14916602481774,0.148792197448719,0.14900600001456,0.122473807923588,0.122564768893242,0.122975717364384,0.122272784326648,0.122653430744171,0.451140555020296,0.451238299314671,0.451991960769715,0.45076197829138,0.451327340056683,-0.00106681987443208,-0.00105212424681566,-0.000833975182261002,-0.00120780255128556,-0.000993999985443495,0.00404838174846191,0.00402401997402098,0.00405199696235666,0.00404128292983348,0.00409181369898302,29.0370630306352,0.424375,0.575625,1.0218,0.98969
0.45,1,0.985,0.275,2,7,16,TRUE,1,1,0.45,0.15,0.15,0.15,0.15,0.750605,0.01249,0.01262,0.01257,0.01262,0.04747,1.05961659995787,0.151815,0.720565,0.721675,0.72091,0.72006,19.81237,12.41111,12.3903,12.384765,12.41343,22,9,9,9,9,5,5,5,5,5,44,44,43,43,42,69.411975,0.407600918916945,0.158173947096168,0.157805322494985,0.158058884458504,0.158396179565897,0.435609344110459,0.119487678798468,0.119005577770272,0.119234801293874,0.119789561928972,0.921948846260686,0.474271765444348,0.472848821676537,0.473741507799187,0.474875507060528,-0.0423990810830498,0.00817394709616793,0.0078053224949854,0.00805888445850332,0.00839617956589573,0.0235690137690668,0.00487182559788946,0.0048821830834724,0.00487365168013118,0.00488055105108841,29.0064245389811,0.191455,0.808545,1.855715,1.16407
0.45,1,0.985,0.275,2,7,16,TRUE,1,2,0.45,0.45,0.15,0.15,0.15,0.80327,0.80166,0.01748,0.018,0.01813,0.05079,1.05552274069699,0.112245,0.112715,0.645195,0.643415,0.64366,21.149115,21.13148,13.611025,13.63032,13.634095,23,23,10,10,10,5,5,5,5,5,49,51,42,44,45,83.156035,0.41882830680328,0.418861696734266,0.163581934846681,0.163715013002157,0.163623932873508,0.43467553098361,0.434652576458478,0.116812725608054,0.117018119702282,0.116959341510625,0.941077446753454,0.940975918711833,0.486754899420598,0.487179096643367,0.48703276359113,-0.0311716931967179,-0.0311383032657346,0.0135819348466797,0.0137150130021584,0.0136239328735075,0.0171967243190888,0.0172529384845953,0.00562595705071946,0.00564258051424802,0.00562315995437787,28.9902208152786,0.09585,0.90415,2.71599,1.18423
0.45,1,0.985,0.275,2,7,16,TRUE,1,3,0.45,0.45,0.45,0.15,0.15,0.844355,0.84346,0.84418,0.02603,0.02501,0.04874,1.04718916700862,0.07838,0.07809,0.078595,0.574435,0.576095,21.85585,21.8701,21.840785,14.73931,14.70146,23,23,23,12,11,5,5,5,5,5,49,45,45,42,42,95.007505,0.428599850084093,0.428669046907383,0.428712071673537,0.170746121329015,0.170257944804077,0.437880370978493,0.437875322107733,0.438097021066583,0.116254171334529,0.115563842847015,0.955018137817846,0.955468084642616,0.955044682204608,0.505217244333809,0.503902280777244,-0.0214001499159012,-0.0213309530926123,-0.0212879283264603,0.0207461213290143,0.0202579448040747,0.0135260730405613,0.0134452077765214,0.0135198675341445,0.00667683896175226,0.00660314400274668,29.0115855418427,0.064955,0.935045,3.456425,1.03137
0.45,1,0.985,0.275,2,7,16,TRUE,1,4,0.45,0.45,0.45,0.45,0.15,0.87721,0.878155,0.87809,0.87769,0.04136,0.04136,1,0.055995,0.055575,0.055865,0.05576,0.505375,22.227165,22.229805,22.23256,22.23684,15.795735,23,23,23,23,15,5,5,5,5,5,45,47,46,46,45,104.722105,0.437133583514737,0.437258755629858,0.437291178240215,0.437311324087759,0.181833471078255,0.441285344084818,0.441433398684386,0.44159427758113,0.441508363222394,0.116100099158277,0.96547519785849,0.965696908339236,0.965375423516682,0.965657812266279,0.531332922854596,-0.012866416485262,-0.0127412443701414,-0.0127088217597797,-0.0126886759122388,0.0318334710782534,0.0110707481867477,0.0110106941923005,0.01110201552386,0.0110379973763609,0.00853649048354158,28.9675870150185,0.057765,0.942235,4.062095,0.718925
0.45,1,0.985,0.275,2,7,16,TRUE,1,5,0.45,0.45,0.45,0.45,0.45,0.91324,0.91335,0.912775,0.913245,0.91379,0,0,0.03959,0.03941,0.040195,0.039685,0.039085,21.973635,21.973905,21.953385,21.967795,21.950655,23,23,23,23,23,5,5,5,5,5,47,48,46,49,47,109.819375,0.448839923805697,0.448552388778919,0.448360146327715,0.448682943100016,0.448663423991329,0.447153493850989,0.44689633842394,0.446564907492359,0.447067772029093,0.446947165177815,0.974619302819874,0.974379221923458,0.974124794742657,0.97438153810394,0.974704191554531,-0.00116007619430081,-0.00144761122108496,-0.00163985367228416,-0.00131705689998211,-0.00133657600867142,0.00939937490811791,0.00940642979067183,0.00946977402563705,0.00940851392124903,0.00936441211106752,28.990086753656,0.088225,0.911775,4.382355,0.235635
0.45,1,0.985,0.275,2,7,16,TRUE,0.5,1,0.45,0.15,0.15,0.15,0.15,0.75067,0.01219,0.012315,0.012615,0.01285,0.04733,1.05577857595605,0.15097,0.72052,0.72076,0.719035,0.72228,19.85118,12.39477,12.391015,12.41381,12.375345,22,9,9,9,9,5,5,5,5,5,45,42,43,44,47,69.42612,0.408022982280048,0.157924334122463,0.158008603060098,0.158308955466334,0.157987902269909,0.436000610887598,0.119127441264245,0.119211186641916,0.11961668448869,0.119103301824883,0.922470182947523,0.473243169167166,0.473595229625665,0.474567636913936,0.473162913054367,-0.0419770177199544,0.00792433412246209,0.0080086030600995,0.00830895546633423,0.00798790226990779,0.0235394438460242,0.00484824551183772,0.00484859421910805,0.00489324341482838,0.00486095116185574,41.7902479342227,0.191075,0.808925,1.85736,1.165795
0.45,1,0.985,0.275,2,7,16,TRUE,0.5,2,0.45,0.45,0.15,0.15,0.15,0.80227,0.802015,0.01766,0.01785,0.017675,0.05054,1.05233478432924,0.111955,0.11258,0.643895,0.64305,0.64441,21.154035,21.15189,13.627735,13.65654,13.61547,23,23,10,10,10,5,5,5,5,5,44,51,46,43,45,83.20567,0.418390229009211,0.418543503316836,0.163475898047878,0.163501030515587,0.163460975958228,0.434154070722813,0.434265933604794,0.116717065822765,0.116879870380042,0.116713497783884,0.940847755758865,0.940777228989446,0.486422430878609,0.486702954571901,0.486331526886452,-0.0316097709907813,-0.0314564966831616,0.0134758980478772,0.0135010305155863,0.0134609759582271,0.017247192867053,0.0172832310184805,0.00562833895070545,0.00562223504383044,0.00563164240568482,47.672911451242,0.094255,0.905745,2.718755,1.18664
