"mss","mu0","phi0","ppEffCrit","ppFutCrit","pmp","n1_targ","n2_targ","futOnly","enrScale","numAlt","trr1","trr2","trr3","trr4","trr5","rr1","rr2","rr3","rr4","rr5","FWER","nerr","fut1","fut2","fut3","fut4","fut5","aveSS1","aveSS2","aveSS3","aveSS4","aveSS5","medSS1","medSS2","medSS3","medSS4","medSS5","minSS1","minSS2","minSS3","minSS4","minSS5","maxSS1","maxSS2","maxSS3","maxSS4","maxSS5","aveSSovr","PM1","PM2","PM3","PM4","PM5","SP1","SP2","SP3","SP4","SP5","PP1","PP2","PP3","PP4","PP5","BIAS1","BIAS2","BIAS3","BIAS4","BIAS5","MSE1","MSE2","MSE3","MSE4","MSE5","aveDur","esProb1","esProb2","nbCont1","nbCont2"
4,0.45,1,0.985,0.275,2,7,16,1,1,0,0.15,0.15,0.15,0.15,0.15,0.010212,0.010276,0.010512,0.010656,0.010496,0.049976,1.04354089963182,0.715196,0.716216,0.7145,0.71406,0.713996,11.9296,11.924508,11.948404,11.937308,11.952652,9,9,9,9,9,4,4,4,4,4,43,45,44,44,45,59.692472,0.147823754153308,0.147827803823098,0.148188862375261,0.148207075959473,0.148042949898249,0.115636646034752,0.11559818539047,0.116121056737714,0.116122684904962,0.115956924666929,0.439313988341795,0.439085784010503,0.440324253974992,0.440226711544177,0.439693228346593,-0.00217624584669253,-0.00217219617690276,-0.00181113762473823,-0.00179292404052776,-0.00195705010174974,0.00486121520249273,0.00486865855549213,0.00489889167801102,0.00490961905522564,0.00489792212732818,9.87082739624115,0.230016,0.769984,1.41578,1.37388
4,0.45,1,0.985,0.275,2,7,16,1,1,1,0.45,0.15,0.15,0.15,0.15,0.785964,0.013164,0.0129,0.013464,0.012996,0.05074,1.03515963736697,0.111352,0.680516,0.68118,0.68072,0.67924,20.29418,12.487216,12.476704,12.481536,12.512152,22,9,9,9,9,4,4,4,4,4,48,43,44,47,50,70.251788,0.42514314125411,0.152684693235016,0.152561760322287,0.152579447037148,0.152780289608364,0.437928539304989,0.114409029484213,0.114290753413525,0.114292976978043,0.114622350384275,0.933021253677883,0.451561323748378,0.451039164843035,0.451013894930328,0.45181641018153,-0.0248568587458877,0.00268469323501679,0.00256176032228715,0.00257944703714782,0.00278028960836375,0.021049392986164,0.00527206070108044,0.0052839837639648,0.00530221808846308,0.00530126395390272,10.7406564835849,0.122012,0.877988,2.076224,1.328504
4,0.45,1,0.985,0.275,2,7,16,1,1,2,0.45,0.45,0.15,0.15,0.15,0.80956,0.809584,0.015368,0.015708,0.016056,0.045672,1.03196706953932,0.096704,0.096144,0.647504,0.647016,0.647284,20.926472,20.945856,13.02522,13.030792,13.029596,22,22,9,9,9,4,4,4,4,4,51,48,49,46,46,80.957936,0.427840309571291,0.427658384053301,0.156920925221805,0.157110862061403,0.156968268786665,0.43525815103962,0.435088898436052,0.11350917445226,0.113708262646469,0.113531227744349,0.94082024208017,0.941112067854052,0.462217953562656,0.462972198373021,0.462124764510489,-0.0221596904287068,-0.0223416159467005,0.00692092522180504,0.00711086206140463,0.00696826878666472,0.0178043730158925,0.0177612104881159,0.00565695982387241,0.0056893735180881,0.0057299200517592,11.0936670393364,0.07714,0.92286,2.744108,1.199072
4,0.45,1,0.985,0.275,2,7,16,1,1,3,0.45,0.45,0.45,0.15,0.15,0.831284,0.828808,0.829812,0.01972,0.019752,0.038616,1.02216697741869,0.083436,0.083972,0.083948,0.614712,0.614444,21.412992,21.393788,21.409652,13.551828,13.562368,22,22,23,10,10,4,4,4,4,4,47,49,47,44,47,91.330628,0.431751120160652,0.431165355165356,0.431461361914302,0.161269561353247,0.161188421102312,0.435128417100753,0.434443906964547,0.434794583927794,0.11284144821643,0.112815630921805,0.947780326195949,0.947292873139509,0.947665709332108,0.472679138183458,0.47244703277356,-0.0182488798393473,-0.0188346448346415,-0.018538638085698,0.0112695613532462,0.0111884211023102,0.0155224746252227,0.015600938746434,0.0155418306664618,0.00623039824345756,0.00624368033564832,11.2986017899616,0.052256,0.947744,3.391952,0.990112
4,0.45,1,0.985,0.275,2,7,16,1,1,4,0.45,0.45,0.45,0.45,0.15,0.850776,0.850292,0.852056,0.850648,0.024452,0.024452,1,0.071412,0.071384,0.070752,0.071228,0.583816,21.661768,21.66464,21.68454,21.661784,14.033716,23,23,23,23,10,4,4,4,4,4,52,51,48,50,46,100.706448,0.436393285914172,0.436342080494991,0.436314759496171,0.436336211564716,0.166683658634778,0.436508674843898,0.436431763160653,0.436393607915041,0.436426636091723,0.112422287886007,0.954144216085542,0.954147941301623,0.954511372541633,0.954095738266197,0.48567565297351,-0.0136067140858268,-0.0136579195050085,-0.0136852405038308,-0.013663788435283,0.0166836586347781,0.0138720838235243,0.0138707621543473,0.0137269776379632,0.013845148965264,0.00693218659979781,11.3601508279413,0.044052,0.955948,3.978868,0.703184
4,0.45,1,0.985,0.275,2,7,16,1,1,5,0.45,0.45,0.45,0.45,0.45,0.869436,0.869472,0.8696,0.87,0.870848,0,0,0.0618,0.061908,0.061852,0.062336,0.06106,21.797912,21.798044,21.810592,21.793,21.821268,23,23,23,23,23,4,4,4,4,4,48,50,48,49,49,109.020816,0.441550187154088,0.441603302990043,0.441460602563162,0.441543259665969,0.441749535247414,0.438281868402386,0.438316628674557,0.438167074598171,0.438247990449266,0.438545026470947,0.959649603196901,0.959558759020363,0.959489023783609,0.959241946165226,0.960051563239116,-0.00844981284590925,-0.0083966970099558,-0.00853939743683785,-0.00845674033403331,-0.00825046475258786,0.0125366001186548,0.0125501489342023,0.0125549691862396,0.0126241449510502,0.0124458650412628,11.3702176314271,0.043296,0.956704,4.497824,0.341688
4,0.45,1,0.985,0.275,2,7,16,1,1,3,0.05,0.15,0.25,0.35,0.45,3.6e-05,0.01704,0.1821,0.520852,0.814888,0.017072,1.00023430178069,0.909632,0.65262,0.400016,0.213068,0.097368,8.854712,12.948172,16.859204,19.536648,21.065404,8,9,19,22,22,4,4,4,4,4,40,43,51,49,47,79.26414,0.100463733973834,0.157253608514369,0.23391005406809,0.325320996331386,0.423007569332786,0.0365768472300143,0.113379442373662,0.208796671885836,0.318983995904773,0.43440957285088,0.256639628677533,0.46631684298516,0.691303825264846,0.853801574984583,0.941970765826745,0.0504637339738337,0.00725360851436952,-0.0160899459319118,-0.0246790036686138,-0.0269924306672196,0.00506632993049707,0.00586487587280321,0.0113258469507989,0.0162778424398799,0.0176907590057149,11.1812442086056,0.067248,0.932752,2.637448,1.19238
4,0.45,1,0.985,0.275,2,7,16,1,1,4,0.15,0.3,0.3,0.3,0.45,0.020072,0.369976,0.369384,0.370836,0.832132,0.020072,1,0.622592,0.27266,0.273588,0.273,0.086744,13.433928,18.915772,18.891028,18.917148,21.675228,10,21,21,21,23,4,4,4,4,4,43,52,51,48,48,91.833104,0.16522799340074,0.281773387985734,0.2814682727468,0.28162964232495,0.419120471119407,0.112636632601871,0.26287263714626,0.262510948388959,0.262720097825461,0.432166753375634,0.503859706301971,0.807342629736056,0.80647759845562,0.806895502856127,0.950128870091653,0.0152279934007399,-0.018226612014265,-0.018531727253203,-0.0183703576750501,-0.0308795288805896,0.00578112595234851,0.0121393485467553,0.0121643817371206,0.0121468645775222,0.0157386207181343,11.4812866148672,0.029236,0.970764,3.424784,1.509016
4,0.45,1,0.985,0.275,2,7,16,1,1,3,0.15,0.15,0.3,0.3,0.3,0.016436,0.016044,0.336632,0.337128,0.337596,0.032024,1.01423932050962,0.657208,0.657248,0.303712,0.3036,0.302608,12.879704,12.884308,18.380948,18.38866,18.40616,9,9,21,21,21,4,4,4,4,4,47,47,45,47,50,80.93978,0.160148911092217,0.160052341133509,0.272008499678624,0.271996863384741,0.272108312455604,0.113499544337528,0.11336350299989,0.260950739043111,0.260906861090905,0.26107248324212,0.490819256978387,0.490528512488432,0.791347156438853,0.791067920180141,0.7916392806608,0.0101489110922166,0.0100523411335072,-0.0279915003213737,-0.0280031366152569,-0.0278916875443977,0.00524589969347029,0.00524053923279932,0.0126902645412392,0.0127199075448454,0.0126783884348171,11.3242977143688,0.048792,0.951208,2.743344,1.731788
4,0.45,1,0.985,0.275,2,7,16,1,0.5,0,0.15,0.15,0.15,0.15,0.15,0.010052,0.010352,0.010832,0.010036,0.010552,0.04966,1.04357631896899,0.71474,0.714512,0.7141,0.713108,0.713932,11.95392,11.942488,11.949236,11.970536,11.952868,9,9,9,9,9,4,4,4,4,4,42,45,45,43,43,59.769048,0.147868815948019,0.14816704942701,0.148064677844479,0.147888476505253,0.147917100080968,0.115713516690332,0.116095189011431,0.115934916228137,0.115760412925694,0.115767823724805,0.439526954944276,0.44048594027835,0.439866072498805,0.439534886764009,0.439401298184055,-0.00213118405198044,-0.00183295057299051,-0.00193532215552182,-0.00211152349474642,-0.00208289991903184,0.00488222320190513,0.0048701398505765,0.00493827983743007,0.00488114668378137,0.00492857074330766,9.87704536611675,0.229668,0.770332,1.419136,1.377784
