"mss","mu0","phi0","ppEffCrit","ppFutCrit","pmp","n1_targ","n2_targ","futOnly","enrScale","numAlt","trr1","trr2","trr3","trr4","trr5","rr1","rr2","rr3","rr4","rr5","FWER","nerr","fut1","fut2","fut3","fut4","fut5","aveSS1","aveSS2","aveSS3","aveSS4","aveSS5","medSS1","medSS2","medSS3","medSS4","medSS5","minSS1","minSS2","minSS3","minSS4","minSS5","maxSS1","maxSS2","maxSS3","maxSS4","maxSS5","aveSSovr","PM1","PM2","PM3","PM4","PM5","SP1","SP2","SP3","SP4","SP5","PP1","PP2","PP3","PP4","PP5","BIAS1","BIAS2","BIAS3","BIAS4","BIAS5","MSE1","MSE2","MSE3","MSE4","MSE5","aveDur","esProb1","esProb2","nbCont1","nbCont2"
4,0.45,1,0.985,0.275,2,7,16,1,1,0,0.15,0.15,0.15,0.15,0.15,0.010616,0.010532,0.01058,0.01078,0.010416,0.050636,1.04518524370013,0.714228,0.714816,0.712572,0.714288,0.713764,11.896128,11.880984,11.913104,11.880488,11.900144,9,9,9,9,9,4,4,4,4,4,40,42,41,41,43,59.470848,0.147811159780839,0.147934698067128,0.148114568941349,0.14782945771034,0.147939374652489,0.11559963131177,0.115741338441114,0.116092131649194,0.115547514227183,0.115818229058785,0.438847499072424,0.439255889930453,0.439889635325978,0.438954835569397,0.439264653786046,-0.00218884021915985,-0.00206530193287071,-0.0018854310586499,-0.00217054228965844,-0.00206062534751067,0.00491026682302203,0.00491002300704396,0.00492346590184492,0.00491619692395415,0.00494856034456972,29.0048669335751,0.229764,0.770236,1.419544,1.377408
4,0.45,1,0.985,0.275,2,7,16,1,1,1,0.45,0.15,0.15,0.15,0.15,0.78554,0.01342,0.012964,0.013004,0.013276,0.050896,1.03473750392958,0.111976,0.679876,0.681012,0.679276,0.677844,20.172852,12.454788,12.435368,12.458528,12.481072,22,9,9,9,9,4,4,4,4,4,44,41,41,41,39,70.002608,0.424996611284423,0.152807958434886,0.15243247922159,0.152608337453537,0.152875831403062,0.437819162678007,0.114622162595866,0.114096062575295,0.114295641976679,0.11472981377081,0.932796079633553,0.451666855666419,0.4504572562368,0.451246761323814,0.452101954836582,-0.0250033887155797,0.00280795843488678,0.00243247922158848,0.00260833745353668,0.00287583140306241,0.0211279929283407,0.00534186393917259,0.00532307851770548,0.00528941205070116,0.00530203490135783,28.9861683099677,0.121836,0.878164,2.078604,1.331812
4,0.45,1,0.985,0.275,2,7,16,1,1,2,0.45,0.45,0.15,0.15,0.15,0.81192,0.809896,0.01578,0.01576,0.015648,0.045712,1.03228911445572,0.096872,0.096368,0.64906,0.64634,0.648176,20.848276,20.869852,12.964828,13.006504,12.961912,22,22,9,9,9,4,4,4,4,4,44,44,41,44,40,80.651372,0.427791867282484,0.427974177365325,0.156843940943753,0.157147167099714,0.156835644313818,0.435152397020785,0.435391442153058,0.113322334216785,0.11377047457973,0.113271336435776,0.940913091300207,0.941242373606998,0.461962956511251,0.46286011498469,0.461984819418073,-0.0222081327175194,-0.0220258226346755,0.0068439409437523,0.00714716709971469,0.00683564431381904,0.0177050217373814,0.0177444722226093,0.005682028940281,0.00571427237372096,0.00569023720148043,29.0471269257036,0.076444,0.923556,2.74336,1.19418
4,0.45,1,0.985,0.275,2,7,16,1,1,3,0.45,0.45,0.45,0.15,0.15,0.83196,0.83232,0.831972,0.019124,0.019656,0.0381,1.01784776902887,0.083268,0.0821,0.083276,0.61332,0.613084,21.36724,21.369636,21.346752,13.53418,13.541716,23,23,23,10,10,4,4,4,4,4,44,47,45,45,45,91.159524,0.431471776536883,0.431811440547581,0.431728468901544,0.161029864094462,0.161086536640558,0.434757920468114,0.435164253603874,0.43506211400971,0.112548988828324,0.112598858897484,0.947791111621379,0.948578316755054,0.947716517842459,0.4721650762211,0.472262464438306,-0.0185282234631205,-0.0181885594524184,-0.018271531098455,0.0110298640944638,0.0110865366405576,0.0155737144592602,0.0154090744188897,0.0155664727378053,0.00621951821111714,0.00624373283413145,29.0075833320264,0.051312,0.948688,3.3999,0.98992
4,0.45,1,0.985,0.275,2,7,16,1,1,4,0.45,0.45,0.45,0.45,0.15,0.852764,0.852568,0.850652,0.85288,0.024504,0.024504,1,0.071128,0.070776,0.071996,0.070592,0.582716,21.625052,21.616376,21.593796,21.627584,14.016652,23,23,23,23,10,4,4,4,4,4,46,46,53,48,43,100.47946,0.436610156958617,0.436531244817598,0.4361587108946,0.436726579202852,0.16668234903358,0.436675766423777,0.436673440805172,0.436138566216147,0.436887267238498,0.11236449966044,0.954619082302013,0.954572640716729,0.954045504188962,0.954749282386585,0.48568237589168,-0.0133898430413862,-0.0134687551824022,-0.0138412891054028,-0.0132734207971477,0.0166823490335781,0.0137857976882756,0.0137911658629151,0.0138673142769805,0.013768765556845,0.0069518118845541,28.9804810673671,0.043164,0.956836,3.983388,0.699424
4,0.45,1,0.985,0.275,2,7,16,1,1,5,0.45,0.45,0.45,0.45,0.45,0.870932,0.870652,0.87018,0.871396,0.870664,0,0,0.06208,0.062156,0.062956,0.062072,0.062244,21.740504,21.749684,21.720924,21.75274,21.741816,23,23,23,23,23,4,4,4,4,4,46,47,48,44,46,108.705668,0.441533665657609,0.441171001875685,0.441023833082158,0.441497115178744,0.441553857011355,0.438318174631233,0.43777051937292,0.437588585444338,0.438191090070782,0.438322044890263,0.959748162738514,0.95962676818031,0.959170203247857,0.959690545303734,0.959669216912509,-0.0084663343423928,-0.00882899812431161,-0.00897616691783468,-0.00850288482125805,-0.00844614298864322,0.0125191891203353,0.0125407612731502,0.0125729985229581,0.0125043104945673,0.0125331544621538,29.0313755762462,0.042976,0.957024,4.49684,0.334668
4,0.45,1,0.985,0.275,2,7,16,1,1,3,0.05,0.15,0.25,0.35,0.45,4e-05,0.01736,0.181036,0.52192,0.81456,0.0174,1,0.909312,0.650456,0.400948,0.213336,0.097992,8.820376,12.934936,16.78472,19.457976,20.964508,8,9,19,22,22,4,4,4,4,4,42,43,43,43,45,78.962516,0.100657157217526,0.157280857951945,0.233664136516104,0.325431448720855,0.42274196926751,0.0368213810748026,0.113337796189733,0.20844017835786,0.319080332030593,0.434135600639555,0.257385700257833,0.466545775768879,0.690447840829952,0.853646719277958,0.941677056365942,0.0506571572175258,0.00728085795194549,-0.0163358634838978,-0.0245685512791459,-0.027258030732491,0.00510765816681907,0.00589445996002793,0.01134265614812,0.0162836411987332,0.0177470082696471,28.990149783437,0.066652,0.933348,2.638544,1.19304
4,0.45,1,0.985,0.275,2,7,16,1,1,4,0.15,0.3,0.3,0.3,0.45,0.020348,0.36854,0.36952,0.370964,0.833596,0.020348,1,0.622084,0.27352,0.27374,0.27416,0.086816,13.409484,18.845024,18.847116,18.838384,21.59854,10,21,21,21,23,4,4,4,4,4,42,45,42,50,44,91.538548,0.165050756390112,0.281541691027365,0.281589541220312,0.281594431189866,0.419019471653781,0.112402073019131,0.262573342196635,0.262637163982294,0.262626299307158,0.432034736874374,0.503351965370558,0.80664476963353,0.806988961754308,0.806272537270645,0.950298735991075,0.0150507563901146,-0.0184583089726344,-0.0184104587796841,-0.0184055688101294,-0.0309805283462219,0.00575946272262681,0.0121475737770881,0.0120972717082103,0.0121987237216629,0.0157135975579208,28.9931141649457,0.029028,0.970972,3.423888,1.506712
4,0.45,1,0.985,0.275,2,7,16,1,1,3,0.15,0.15,0.3,0.3,0.3,0.016796,0.016672,0.336548,0.335628,0.335412,0.032948,1.01578244506495,0.657496,0.656396,0.305772,0.303692,0.30306,12.839216,12.854604,18.299392,18.31474,18.307888,9,9,21,21,21,4,4,4,4,4,43,43,45,43,43,80.61584,0.159828952298566,0.160204224240235,0.271710943102883,0.271989403021234,0.272004545393323,0.11313315618361,0.113626701334717,0.260547020386347,0.260884528954161,0.260932707479973,0.489609322626036,0.490984868855559,0.790010527030544,0.790870031566576,0.791193443729526,0.00982895229856608,0.0102042242402341,-0.0282890568971172,-0.0280105969787669,-0.0279954546066765,0.0052538960888657,0.00526054033352455,0.0127779122678147,0.0127621544662963,0.0127355850469727,29.0080202034706,0.049784,0.950216,2.74046,1.732528
4,0.45,1,0.985,0.275,2,7,16,1,0.5,0,0.15,0.15,0.15,0.15,0.15,0.011004,0.010508,0.010248,0.010112,0.010656,0.050292,1.04446035154697,0.713488,0.714328,0.711672,0.715368,0.714416,11.899404,11.895976,11.926644,11.875164,11.880376,9,9,9,9,9,4,4,4,4,4,41,39,40,41,41,59.477564,0.147898537329288,0.147750653594471,0.148099304717572,0.147690922641923,0.148039831716984,0.115748333766607,0.115516872797627,0.115998565591501,0.115409617267622,0.115904537435484,0.438888429172174,0.43873177573351,0.440022698076349,0.438543157847717,0.439561166571532,-0.00210146267071216,-0.00224934640553,-0.00190069528242746,-0.00230907735807672,-0.00196016828301781,0.00494042769025382,0.00489491658130977,0.00493464079856071,0.00485086517050434,0.0049005063290772,28.9923653038882,0.229612,0.770388,1.420504,1.3782
